task_id,title,description,category,priority,status,created_date,due_date,completion_date,assigned_to,created_by,manager,department,estimated_hours,actual_hours,complexity_score,dependencies_count,user_current_workload,user_experience_level,task_age_days,is_overdue
TASK_000041,Task 41: Monitor urgent metrics for data migration dashboard,Fix automated bug in system integration system. configure streamlined settings for compliance check deployment,Project Management,Critical,In Progress,2025-08-22,2025-09-03,,user_152,user_069,manager_11,Legal,23.77,34.42,2.7,2,9,6.7,-67,False
TASK_000042,Task 42: Develop enhanced strategy for workflow automation campaign,Optimize complex performance in inventory management database. create new report for workflow automation stakeholders,Data Analysis,High,Not Started,2025-06-02,2025-06-14,,user_067,user_088,manager_09,Finance,43.13,,4.0,0,12,5.4,14,True
TASK_000043,Task 43: Analyze routine data for user authentication optimization,Conduct enhanced research on payment processing market trends. test critical feature in workflow automation environment,Operations,Low,Completed,2025-04-20,2025-04-24,,user_166,user_183,manager_16,HR,24.88,19.27,5.2,1,10,7.2,57,False
TASK_000044,Task 44: Validate enhanced requirements for performance monitoring project,Configure complex settings for client onboarding deployment. develop routine strategy for system integration campaign,Marketing,Low,On Hold,2025-07-23,2025-08-03,,user_141,user_085,manager_12,Operations,6.14,,4.3,1,9,7.2,-37,False
TASK_000045,Task 45: Analyze streamlined data for security audit optimization,Review and update enhanced documentation for client onboarding process. review and update routine documentation for data migration process,Design,Medium,In Progress,2025-04-07,2025-04-10,,user_071,user_186,manager_19,Legal,2.94,2.72,8.0,2,10,8.8,70,True
TASK_000046,Task 46: Test streamlined feature in security audit environment,Create automated report for performance monitoring stakeholders. implement routine functionality for the data migration module,Research,Medium,Completed,2025-01-10,2025-01-30,,user_142,user_075,manager_23,Marketing,35.74,46.54,4.8,0,9,7.2,157,False
TASK_000047,Task 47: Implement complex functionality for the performance monitoring module,Develop urgent strategy for workflow automation campaign. create automated report for user authentication stakeholders,Research,High,Not Started,2025-08-19,2025-08-22,,user_126,user_019,manager_19,Operations,24.09,,1.0,2,7,5.7,-64,False
TASK_000048,Task 48: Design automated interface for compliance check application,Analyze advanced data for security audit optimization. review and update routine documentation for inventory management process,HR,Medium,Completed,2025-04-12,2025-04-13,,user_098,user_116,manager_30,HR,21.26,24.9,3.0,1,7,6.8,65,False
TASK_000049,Task 49: Optimize complex performance in user authentication database,Optimize advanced performance in security audit database. configure enhanced settings for performance monitoring deployment,Finance,High,In Progress,2025-01-28,2025-01-30,,user_020,user_041,manager_01,HR,11.87,13.94,3.9,1,10,7.2,139,True
TASK_000050,Task 50: Test streamlined feature in performance monitoring environment,Validate urgent requirements for payment processing project. configure enhanced settings for performance monitoring deployment,Project Management,Medium,Not Started,2025-03-29,2025-03-31,,user_166,user_039,manager_30,Sales,4.22,,,0,4,7.9,79,True
TASK_000051,Task 51: Review and update new documentation for data migration process,Prepare streamlined presentation for compliance check meeting. validate complex requirements for performance monitoring project,Customer Support,High,In Progress,2025-02-19,2025-02-27,,user_104,user_070,manager_17,Finance,9.2,7.03,4.5,0,8,3.5,117,True
TASK_000052,Task 52: Fix comprehensive bug in compliance check system,Analyze new data for payment processing optimization. test complex feature in compliance check environment,Development,High,Completed,2025-05-04,2025-05-07,2025-05-08,user_045,user_121,manager_17,Operations,49.99,46.11,3.6,1,12,,43,False
TASK_000053,Task 53: Fix urgent bug in payment processing system,Develop comprehensive strategy for inventory management campaign. create comprehensive report for payment processing stakeholders,Data Analysis,Low,In Progress,2025-03-10,2025-03-16,,user_074,user_170,manager_13,Legal,4.14,3.02,,0,7,3.6,98,True
TASK_000054,Task 54: Analyze comprehensive data for payment processing optimization,Prepare critical presentation for system integration meeting. monitor new metrics for system integration dashboard,Customer Support,Medium,Completed,2025-07-17,2025-07-30,2025-07-30,user_160,user_194,manager_16,Operations,18.94,14.04,5.5,2,7,7.5,-31,False
TASK_000055,Task 55: Design streamlined interface for workflow automation application,Integrate urgent API with payment processing service. implement complex functionality for the security audit module,Legal,Medium,In Progress,2025-03-09,2025-03-13,,user_105,user_024,manager_08,Legal,5.82,6.22,2.3,1,7,5.1,99,True
TASK_000056,Task 56: Monitor automated metrics for workflow automation dashboard,Integrate streamlined API with system integration service. validate streamlined requirements for inventory management project,Data Analysis,Medium,On Hold,2025-08-22,2025-08-25,,user_063,user_117,manager_18,Marketing,13.43,,4.3,0,11,6.4,-67,False
TASK_000057,Task 57: Integrate complex API with system integration service,Validate automated requirements for payment processing project. analyze critical data for client onboarding optimization,Infrastructure,High,Not Started,2025-09-03,2025-09-25,,user_186,user_077,manager_27,Finance,4.24,,4.5,3,9,7.2,-79,False
TASK_000058,Task 58: Configure urgent settings for data migration deployment,Develop routine strategy for workflow automation campaign. create comprehensive report for system integration stakeholders,Project Management,Low,Completed,2025-06-29,2025-07-02,2025-07-02,user_049,user_179,manager_08,Finance,13.56,18.78,4.9,2,5,7.0,-13,False
TASK_000059,Task 59: Create urgent report for inventory management stakeholders,Fix automated bug in workflow automation system. implement automated functionality for the system integration module,HR,Medium,In Progress,2025-06-05,2025-06-15,,user_113,user_026,manager_17,HR,157.66,220.21,4.6,2,6,5.3,11,True
TASK_000060,Task 60: Review and update urgent documentation for performance monitoring process,Create complex report for inventory management stakeholders. configure advanced settings for client onboarding deployment,Data Analysis,High,On Hold,2025-06-30,2025-07-20,,user_161,user_184,manager_29,Legal,32.41,,3.6,1,10,4.5,-14,False
TASK_000061,Task 61: Conduct new research on compliance check market trends,Review and update enhanced documentation for performance monitoring process. test advanced feature in inventory management environment,Testing,Low,Not Started,2025-02-07,2025-03-10,,user_008,user_012,manager_11,Legal,6.59,,,1,10,4.2,129,True
TASK_000062,Task 62: Create comprehensive report for inventory management stakeholders,Design enhanced interface for system integration application. fix complex bug in data migration system,Documentation,High,Completed,2025-03-17,2025-03-24,2025-03-27,user_159,user_175,manager_08,HR,3.47,2.83,,0,9,,91,False
TASK_000063,Task 63: Analyze urgent data for performance monitoring optimization,Configure new settings for workflow automation deployment. integrate streamlined api with system integration service,Documentation,Medium,In Progress,2025-01-24,2025-02-05,,user_151,user_077,manager_21,HR,7.72,8.22,3.6,2,10,4.9,143,True
TASK_000064,Task 64: Fix urgent bug in payment processing system,Test critical feature in compliance check environment. create complex report for performance monitoring stakeholders,Legal,Medium,In Progress,2025-05-18,2025-05-21,,user_102,user_071,manager_01,Finance,11.86,15.69,8.6,0,9,3.5,29,True
TASK_000065,Task 65: Integrate complex API with workflow automation service,Monitor streamlined metrics for security audit dashboard. optimize comprehensive performance in security audit database,Finance,High,Completed,2025-03-25,2025-04-02,,user_174,user_194,manager_24,Legal,17.64,24.18,6.6,2,6,6.8,83,False
TASK_000066,Task 66: Integrate new API with performance monitoring service,Prepare urgent presentation for user authentication meeting. optimize comprehensive performance in data migration database,Testing,Medium,Completed,2025-05-18,2025-05-20,2025-05-20,user_052,user_034,manager_26,Finance,17.02,16.9,5.8,1,11,7.8,29,False
TASK_000067,Task 67: Analyze automated data for performance monitoring optimization,Integrate urgent API with performance monitoring service. validate comprehensive requirements for payment processing project,Customer Support,High,Not Started,2025-01-25,2025-02-14,,user_174,user_186,manager_22,HR,3.85,,4.1,0,5,6.3,142,True
TASK_000068,Task 68: Prepare routine presentation for client onboarding meeting,Review and update critical documentation for user authentication process. analyze routine data for payment processing optimization,Customer Support,High,Cancelled,2025-06-24,2025-07-19,,user_173,user_068,manager_19,HR,7.79,,5.8,1,6,4.2,-8,False
TASK_000069,Task 69: Create advanced report for security audit stakeholders,Develop new strategy for compliance check campaign. integrate routine api with client onboarding service,Infrastructure,High,Completed,2025-04-10,2025-04-12,,user_163,user_119,manager_30,Operations,,10.85,,1,11,5.2,67,False
TASK_000070,Task 70: Implement streamlined functionality for the workflow automation module,Review and update advanced documentation for security audit process. integrate routine api with data migration service,Sales,Low,Not Started,2025-08-07,2025-08-15,,user_179,user_139,manager_14,Finance,26.06,,4.3,2,11,5.0,-52,False
TASK_000071,Task 71: Design critical interface for payment processing application,Monitor urgent metrics for compliance check dashboard. fix streamlined bug in user authentication system,Legal,Low,In Progress,2025-06-25,2025-06-26,,user_061,user_093,manager_04,Operations,51.46,73.14,1.8,1,3,6.8,-9,False
TASK_000072,Task 72: Implement critical functionality for the performance monitoring module,Test advanced feature in workflow automation environment. review and update enhanced documentation for compliance check process,Development,Medium,Completed,2025-01-12,2025-01-15,,user_063,user_033,manager_26,Finance,22.84,31.15,5.9,1,8,4.7,155,False
TASK_000073,Task 73: Optimize enhanced performance in security audit database,Create automated report for compliance check stakeholders. implement streamlined functionality for the data migration module,Documentation,Medium,Not Started,2025-04-25,2025-04-26,,user_029,user_170,manager_28,Engineering,12.56,,3.0,3,4,5.6,52,True
TASK_000074,Task 74: Create enhanced report for compliance check stakeholders,Create new report for data migration stakeholders. analyze new data for data migration optimization,Legal,High,Not Started,2025-07-21,2025-07-27,,user_122,user_115,manager_25,Sales,,,5.8,2,9,4.5,-35,False
TASK_000075,Task 75: Review and update urgent documentation for system integration process,Test complex feature in user authentication environment. validate routine requirements for performance monitoring project,Customer Support,High,Completed,2025-01-02,2025-01-07,2025-01-07,user_103,user_110,manager_22,Engineering,7.98,11.39,8.5,0,6,6.7,165,False
TASK_000076,Task 76: Review and update comprehensive documentation for compliance check process,Design advanced interface for data migration application. analyze complex data for compliance check optimization,Operations,Low,In Progress,2025-06-02,2025-06-17,,user_076,user_117,manager_17,Finance,25.7,34.29,6.7,1,11,7.2,14,False
TASK_000077,Task 77: Configure routine settings for security audit deployment,Fix urgent bug in security audit system. fix comprehensive bug in workflow automation system,Sales,Low,Completed,2025-07-18,2025-07-25,,user_081,user_110,manager_11,Operations,14.06,20.57,3.7,2,9,6.6,-32,False
TASK_000078,Task 78: Develop advanced strategy for payment processing campaign,Monitor advanced metrics for payment processing dashboard. fix advanced bug in client onboarding system,Project Management,Medium,In Progress,2025-02-22,2025-02-26,,user_144,user_144,manager_11,Operations,4.32,4.25,7.3,1,6,5.6,114,True
TASK_000079,Task 79: Prepare critical presentation for user authentication meeting,Analyze complex data for performance monitoring optimization. create advanced report for compliance check stakeholders,Operations,Low,Completed,2025-04-05,2025-04-14,2025-04-14,user_028,user_090,manager_28,Finance,32.69,42.82,4.3,0,10,5.5,72,False
TASK_000080,Task 80: Prepare critical presentation for system integration meeting,Prepare complex presentation for compliance check meeting. configure routine settings for user authentication deployment,HR,Medium,Completed,2025-05-03,2025-05-04,2025-05-04,user_196,user_080,manager_30,Sales,10.97,9.27,2.9,1,5,6.2,44,False
TASK_000081,Task 81: Configure critical settings for payment processing deployment,Design new interface for payment processing application. validate routine requirements for security audit project,Sales,High,In Progress,2025-07-20,2025-07-26,,user_080,user_185,manager_11,Legal,17.5,20.59,9.2,0,6,5.8,-34,False
TASK_000082,Task 82: Design automated interface for compliance check application,Implement advanced functionality for the performance monitoring module. develop critical strategy for workflow automation campaign,HR,Medium,In Progress,2025-08-01,2025-08-16,,user_132,user_030,manager_12,HR,18.87,23.45,3.2,3,9,4.8,-46,False
TASK_000083,Task 83: Conduct streamlined research on user authentication market trends,Test critical feature in compliance check environment. implement new functionality for the security audit module,Research,Medium,Cancelled,2025-04-05,2025-04-06,,user_196,user_066,manager_10,Sales,15.45,,4.9,3,11,6.5,72,False
TASK_000084,Task 84: Develop critical strategy for data migration campaign,Design critical interface for system integration application. validate enhanced requirements for system integration project,Operations,Medium,In Progress,2025-06-17,2025-06-21,,user_011,user_112,manager_01,HR,6.0,8.34,8.1,1,7,6.1,-1,False
TASK_000085,Task 85: Optimize critical performance in inventory management database,Analyze advanced data for inventory management optimization. implement comprehensive functionality for the data migration module,Project Management,Medium,Not Started,2025-08-10,2025-08-13,,user_093,user_023,manager_14,Legal,29.99,,2.2,2,6,3.5,-55,False
TASK_000086,Task 86: Fix complex bug in inventory management system,Conduct advanced research on inventory management market trends. monitor streamlined metrics for client onboarding dashboard,Design,Medium,Completed,2025-06-06,2025-06-08,,user_020,user_131,manager_21,Engineering,10.47,8.96,6.1,0,9,4.5,10,False
TASK_000087,Task 87: Create automated report for security audit stakeholders,Review and update automated documentation for performance monitoring process. test automated feature in compliance check environment,Documentation,Low,Completed,2025-01-25,2025-01-27,2025-01-28,user_127,user_119,manager_25,Finance,10.18,10.78,8.7,0,12,6.3,142,False
TASK_000088,Task 88: Optimize complex performance in client onboarding database,Monitor comprehensive metrics for data migration dashboard. develop advanced strategy for workflow automation campaign,Customer Support,Low,Completed,2025-05-22,2025-05-26,,user_152,user_015,manager_12,Finance,4.5,4.82,3.6,1,10,7.8,25,False
TASK_000089,Task 89: Create streamlined report for payment processing stakeholders,Configure advanced settings for compliance check deployment. optimize routine performance in inventory management database,Customer Support,Medium,In Progress,2025-01-08,2025-01-12,,user_167,user_049,manager_11,Finance,44.64,36.64,4.8,1,9,9.9,159,True
TASK_000090,Task 90: Review and update comprehensive documentation for payment processing process,Conduct automated research on user authentication market trends. test urgent feature in workflow automation environment,Operations,Low,Not Started,2025-09-11,2025-09-12,,user_094,user_096,manager_30,Sales,5.05,,3.6,1,9,7.0,-87,False
TASK_000091,Task 91: Prepare comprehensive presentation for compliance check meeting,Implement comprehensive functionality for the payment processing module. create advanced report for system integration stakeholders,Finance,High,In Progress,2025-07-03,2025-07-04,,user_169,user_155,manager_28,Marketing,57.81,67.42,6.1,0,10,6.1,-17,False
TASK_000092,Task 92: Create streamlined report for inventory management stakeholders,Design complex interface for payment processing application. analyze routine data for inventory management optimization,Finance,Medium,In Progress,2025-06-04,2025-07-09,,user_172,user_180,manager_27,Operations,12.92,18.47,6.6,2,6,4.4,12,False
TASK_000093,Task 93: Configure critical settings for system integration deployment,Create new report for client onboarding stakeholders. analyze automated data for security audit optimization,Marketing,Medium,Not Started,2025-08-23,2025-09-12,,user_040,user_020,manager_10,Legal,5.98,,1.3,1,15,6.8,-68,False
TASK_000094,Task 94: Conduct routine research on system integration market trends,Implement comprehensive functionality for the compliance check module. design complex interface for inventory management application,Documentation,Low,In Progress,2025-03-11,2025-03-13,,user_160,user_043,manager_24,HR,245.72,313.46,2.9,3,10,8.0,97,True
TASK_000095,Task 95: Optimize streamlined performance in workflow automation database,Test routine feature in security audit environment. analyze urgent data for security audit optimization,Marketing,Low,Not Started,2025-07-31,2025-08-24,,user_098,user_129,manager_17,HR,18.29,,5.1,1,7,5.0,-45,False
TASK_000096,Task 96: Monitor enhanced metrics for compliance check dashboard,Design streamlined interface for user authentication application. configure urgent settings for client onboarding deployment,Operations,Critical,Not Started,2025-02-08,2025-02-17,,user_133,user_032,manager_10,Engineering,11.59,,3.8,1,11,5.5,128,True
TASK_000097,Task 97: Analyze urgent data for system integration optimization,Design critical interface for payment processing application. integrate enhanced api with workflow automation service,Infrastructure,Medium,In Progress,2025-06-14,2025-06-27,,user_107,user_014,manager_13,Finance,24.6,24.82,6.5,0,5,3.8,2,False
TASK_000098,Task 98: Test new feature in client onboarding environment,Integrate advanced API with client onboarding service. prepare automated presentation for data migration meeting,Development,Low,In Progress,2025-05-13,2025-06-09,,user_121,user_179,manager_27,Marketing,14.11,15.17,3.0,1,7,6.0,34,True
TASK_000099,Task 99: Integrate advanced API with user authentication service,Analyze enhanced data for data migration optimization. conduct complex research on system integration market trends,Sales,Medium,In Progress,2025-02-12,2025-02-23,,user_061,user_078,manager_04,Engineering,7.13,8.64,7.1,1,10,4.2,124,True
TASK_000100,Task 100: Review and update advanced documentation for workflow automation process,Optimize routine performance in user authentication database. configure routine settings for compliance check deployment,Design,High,On Hold,2025-03-01,2025-03-09,,user_091,user_062,manager_19,HR,12.81,,4.3,0,5,6.3,107,True
TASK_000101,Task 101: Configure advanced settings for system integration deployment,Create advanced report for system integration stakeholders. conduct routine research on system integration market trends,Operations,High,Completed,2024-12-28,2024-12-30,2024-12-30,user_163,user_100,manager_12,Sales,31.46,31.0,,0,5,4.1,170,False
TASK_000102,Task 102: Test advanced feature in compliance check environment,Validate comprehensive requirements for data migration project. implement comprehensive functionality for the system integration module,Marketing,Low,Completed,2025-03-17,2025-03-28,,user_176,user_119,manager_23,HR,8.15,11.0,5.9,0,12,,91,False
TASK_000103,Task 103: Prepare urgent presentation for user authentication meeting,Analyze enhanced data for user authentication optimization. prepare enhanced presentation for user authentication meeting,Marketing,Medium,In Progress,2025-05-25,2025-05-30,,user_140,user_122,manager_09,Engineering,19.37,16.52,5.3,0,11,6.7,22,True
TASK_000104,Task 104: Prepare new presentation for client onboarding meeting,,Infrastructure,High,Completed,2025-07-03,2025-07-05,2025-07-04,user_178,user_128,manager_12,Legal,21.93,29.41,,1,9,6.0,-17,False
TASK_000105,Task 105: Review and update critical documentation for compliance check process,Monitor automated metrics for system integration dashboard. analyze comprehensive data for payment processing optimization,Testing,Medium,In Progress,2025-06-03,2025-06-09,,user_079,user_115,manager_20,Operations,22.26,27.86,5.8,2,5,7.9,13,True
TASK_000106,Task 106: Implement comprehensive functionality for the compliance check module,Fix streamlined bug in user authentication system. review and update critical documentation for client onboarding process,Operations,Low,On Hold,2025-03-09,2025-03-19,,user_037,user_156,manager_22,Legal,8.69,,2.6,1,3,6.7,99,True
TASK_000107,Task 107: Design advanced interface for security audit application,Prepare comprehensive presentation for client onboarding meeting. fix complex bug in user authentication system,HR,High,In Progress,2025-03-06,2025-03-29,,user_095,user_096,manager_15,Legal,3.82,3.09,2.8,0,11,3.7,102,True
